ID	Source	Source_Reference_ID	Entrez_Gene_ID	Symbol
ILMN_3139253	RefSeq	NM_001017525.1	74007	Btbd11
ILMN_3153982	RefSeq	NM_001037098.1	67991	Btbd14a
ILMN_2658592	RefSeq	NM_175533.2	244234	E430002D04Rik
ILMN_1234901	RefSeq	NM_024208.3	67856	Echdc3
ILMN_2714080	RefSeq	NM_147092.1	259096	Olfr561
ILMN_2991272	RefSeq	NM_016689.2	11828	Aqp3
ILMN_2642681	MEEBO	scl47732.2_4	NA	Atf4
ILMN_2798138	RefSeq	NM_016867.1	54120	Gipc2
ILMN_2907093	RefSeq	NM_013745.2	27275	Nufip1
ILMN_2764790	RefSeq	NM_013745.2	27275	Nufip1
ILMN_2768691	MEEBO	scl38674.5.1_203	NA	Amh
ILMN_1244084	RefSeq	XM_205053.3	NA	LOC279028
ILMN_2600043	RefSeq	NM_028756.2	74102	Slc35a5
ILMN_2600042	RefSeq	NM_028756.2	74102	Slc35a5
ILMN_2719115	RefSeq	NM_028756.2	74102	Slc35a5
ILMN_2925895	RefSeq	NM_145466.1	223267	BC006662
ILMN_1244390	RefSeq	NM_011721.2	22427	Wrn
ILMN_1226576	RefSeq	NM_011721.2	22427	Wrn
ILMN_2754746	MEEBO	scl29833.6.1_16	NA	4930564N15Rik
ILMN_1249363	MEEBO	scl24283.53_124	NA	AI314180
ILMN_1214358	RefSeq	NM_026270.1	67605	Akt1s1
ILMN_2590421	MEEBO	scl0020745.1_153	NA	Spock1
ILMN_1244349	RefSeq	NM_178741.2	246293	Klhl8
ILMN_2943176	RefSeq	NM_178741.2	246293	Klhl8
ILMN_2774435	MEEBO	scl0067204.1_161	NA	Eif2s2
ILMN_1256795	MEEBO	scl0067204.1_161	NA	Eif2s2
ILMN_2977849	RefSeq	NM_025850.2	66930	Fank1
ILMN_1212683	RefSeq	NM_025850.2	66930	Fank1
ILMN_1225570	MEEBO	scl020703.2_0	NA	Serpina1d
ILMN_2703546	MEEBO	scl54836.27.1_18	NA	Plxna3
ILMN_2610442	RefSeq	NM_177618.4	216881	BC030477
ILMN_2797594	RefSeq	NM_019574.2	56218	Patz1
ILMN_2975900	RefSeq	NM_032543.1	84585	Rnf123
ILMN_2448496	MEEBO	scl33199.18.1_17	NA	Def8
ILMN_2680662	MEEBO	scl33199.18.1_17	NA	Def8
ILMN_1226851	MEEBO	scl24327.50_27	NA	Abca1
ILMN_2759770	RefSeq	NM_199469.1	217365	AK129375
ILMN_2670057	RefSeq	NM_138951.1	192653	BC021608
ILMN_2874816	RefSeq	NM_172587.2	218294	Cdc14b
ILMN_2744998	MEEBO	scl072090.10_13	NA	Entpd8
ILMN_1252315	RefSeq	NM_207566.1	404329	Olfr1173
ILMN_3163335	RefSeq	NM_011229.1	19344	Rab5b
ILMN_2999032	RefSeq	NM_001039041.1	625347	MGC117608
ILMN_2647533	MEEBO	scl29748.13.473_11	NA	Slc41a3
ILMN_2787448	RefSeq	NM_026645.2	68265	Iqcf3
ILMN_2813186	RefSeq	NM_027106.1	69534	Avpi1
ILMN_2755585	RefSeq	NM_027106.1	69534	Avpi1
ILMN_1230948	RefSeq	XM_141526.2	NA	LOC241769
ILMN_2768325	MEEBO	scl44776.5.1_299	NA	Cks2
ILMN_1213495	MEEBO	scl064051.13_189	NA	Sv2a
ILMN_2702887	MEEBO	scl064051.13_189	NA	Sv2a
ILMN_2956688	RefSeq	NM_001034872.1	332942	Gm853
ILMN_1226950	MEEBO	scl0002794.1_106	NA	Cdkn2a
ILMN_1221177	MEEBO	scl0002794.1_106	NA	Cdkn2a
ILMN_1222814	RefSeq	NM_146481.1	258474	Olfr890
ILMN_1248860	MEEBO	scl22977.3.91_193	NA	Dpm3
ILMN_2918203	RefSeq	NM_001081389.1	101613	Nlrp6
ILMN_3114461	RefSeq	NM_001034893.1	435970	LOC435970
ILMN_2941324	RefSeq	NM_026960.1	69146	Gsdmdc1
ILMN_2748928	RefSeq	NM_026960.1	69146	Gsdmdc1
ILMN_2752790	RefSeq	NM_026960.1	69146	Gsdmdc1
ILMN_2648687	MEEBO	scl37380.2.1_47	NA	Nxph4
ILMN_1216539	RefSeq	NM_023455.2	68396	Cml4
ILMN_2762711	RefSeq	NM_173450.1	271842	4921503C21Rik
ILMN_2442967	MEEBO	scl27133.6.1_203	NA	Trim50
ILMN_1248763	RefSeq	NM_026067.2	67276	3110010F15Rik
ILMN_2663585	RefSeq	NM_030887.2	81703	Jundm2
ILMN_1242466	MEEBO	scl50027.4.1_35	NA	Psmb9
ILMN_2660793	MEEBO	scl54907.8_703	NA	F9
ILMN_2619565	MEEBO	scl45100.10.1_14	NA	Akr1c6
ILMN_1238551	RefSeq	NM_022981.3	65020	Zfp110
ILMN_2498730	RefSeq	NM_022981.3	65020	Zfp110
ILMN_2874422	RefSeq	NM_028333.2	72713	Angptl1
ILMN_1244851	MEEBO	scl37410.1_176	NA	Usp15
ILMN_2812824	RefSeq	NM_145122.1	18633	Pex16
ILMN_2837100	RefSeq	NM_001024841.2	229588	Gm128
ILMN_2478626	MEEBO	scl14351.1.1_75	NA	C030014K22Rik
ILMN_2590605	MEEBO	scl14351.1.1_75	NA	C030014K22Rik
ILMN_2731113	RefSeq	NM_007966.1	14028	Evx1
ILMN_2721999	MEEBO	scl54485.6_175	NA	Piga
ILMN_1218310	MEEBO	scl54485.6_175	NA	Piga
ILMN_2607926	RefSeq	NM_025841.1	66913	Kdelr2
ILMN_1239592	MEEBO	scl25705.7_6	NA	1700012H17Rik
ILMN_2761109	MEEBO	scl029876.1_93	NA	Clic4
ILMN_1250421	MEEBO	scl37308.12.1_155	NA	Mmp12
ILMN_1223848	RefSeq	NM_197940.1	68524	5730509C05Rik
ILMN_2716497	MEEBO	scl00082.1_76	NA	Ccne1
ILMN_2966218	RefSeq	NM_027055.1	69363	Spaca4
ILMN_2761082	MEEBO	scl48269.9_156	NA	Adamts1
ILMN_1238495	MEEBO	scl48269.9_156	NA	Adamts1
ILMN_2768252	MEEBO	scl017898.5_1	NA	Myl7
ILMN_1216732	RefSeq	NM_008562.2	17210	Mcl1
ILMN_1248018	MEEBO	scl26186.10_1	NA	Foxn4
ILMN_1244842	MEEBO	scl30668.7_258	NA	AI854876
ILMN_2610066	MEEBO	scl53059.36.1_16	NA	Pdcd11
ILMN_1253304	MEEBO	scl23400.7_310	NA	Stmn2
ILMN_2618100	RefSeq	NM_028514.1	73360	Actrt1
ILMN_1219643	MEEBO	scl42861.16_141	NA	Slc24a4
ILMN_1236029	RefSeq	NM_172564.1	217169	9930017A07Rik
ILMN_1238603	MEEBO	scl36607.9.1_1	NA	Pcolce2
ILMN_2678421	MEEBO	scl36607.9.1_1	NA	Pcolce2
ILMN_2687561	RefSeq	NM_007722.2	12778	Cmkor1
ILMN_2719637	RefSeq	NM_025687.1	66654	Tex12
ILMN_3004676	RefSeq	NM_146636.1	258629	Olfr1487
ILMN_2717136	RefSeq	NM_146636.1	258629	Olfr1487
ILMN_1216566	RefSeq	XM_133021.2	NA	LOC232680
ILMN_2624328	MEEBO	scl36629.23.1_130	NA	Adamts7
ILMN_2694857	RefSeq	NM_172876.1	242691	Gpatch3
ILMN_2962312	RefSeq	NM_172876.1	242691	Gpatch3
ILMN_2773921	MEEBO	scl40989.2_2	NA	Hoxb9
ILMN_1237034	MEEBO	scl00100317.1_138	NA	AU040320
ILMN_2670662	RefSeq	NM_144901.2	229663	Csde1
ILMN_1226468	RefSeq	NM_144901.2	229663	Csde1
ILMN_2945483	RefSeq	NM_144901.2	229663	Csde1
ILMN_2842210	RefSeq	NM_175280.3	78774	4930529M08Rik
ILMN_2883500	RefSeq	NM_001007584.1	432589	OTTMUSG00000002038
ILMN_2747501	MEEBO	scl0319613.1_56	NA	5730410E15Rik
ILMN_3130719	MEEBO	scl0319613.1_56	NA	5730410E15Rik
ILMN_1247626	MEEBO	scl057344.13_241	NA	As3mt
ILMN_2707198	MEEBO	scl057344.13_241	NA	As3mt
ILMN_2967294	RefSeq	NM_010047.1	13353	Dgcr6
ILMN_2611284	RefSeq	NM_010047.1	13353	Dgcr6
ILMN_2924041	RefSeq	NM_015761.1	216164	Dos
ILMN_2813224	RefSeq	NM_144797.2	210029	Metrnl
ILMN_2813221	RefSeq	NM_144797.2	210029	Metrnl
ILMN_2676481	RefSeq	NM_019580.3	56209	Mir16
ILMN_2986315	RefSeq	NM_019580.3	56209	Mir16
ILMN_2634264	RefSeq	NM_019580.3	56209	Mir16
ILMN_2963115	RefSeq	NM_146414.1	258409	Olfr1431
ILMN_2753911	RefSeq	NM_146414.1	258409	Olfr1431
ILMN_1225414	MEEBO	scl39554.8_358	NA	Rab5c
