ILMN_ID	GSM1847063	GSM1847064	GSM1847065	GSM1847066	GSM1847067	GSM1847068	GSM1847069	GSM1847070
ILMN_1213273	7.981410874437372	7.999395181137943	7.7913283167859	7.640265184431705	8.005100705279045	8.063961261687638	8.008470081448847	7.894589823732673
ILMN_1213286	6.473257815602564	6.391574758961221	5.782157958776883	7.354122410377341	6.3137361614052185	6.026708671011847	5.856836334738757	5.625491436282131
ILMN_1213287	4.1885607580034865	3.202727699221457	3.1581427802826756	4.31274140090209	4.9069944659121765	4.9512292211449855	4.903685698162542	3.882217513835527
ILMN_1213290	4.861397129637249	4.611360083472321	4.883366171823226	4.923392145235044	5.19685447465929	5.318865611906816	5.180130352617225	4.899079415371047
ILMN_1213296	6.099397889595221	6.042370523274345	6.24510618603192	5.782157958776883	6.021054362830725	6.33718229244602	6.117175961364517	6.200249111261315
ILMN_1213307	7.191385974484986	7.0342047084062695	7.208208016414702	7.523441987840191	7.214093712452257	7.486543034777137	7.414723284405457	7.313766448839311
ILMN_1213316	4.1901644415077905	4.047519194579739	4.0878591036392	4.48007572358024	3.710216839752622	3.8789616848018333	3.357587191872897	2.1523638663620033
ILMN_1213337	-1.6026228465725227	1.118439467371973	3.085553656792388	2.093159221594492	2.9979100054620114	4.481426179365578	3.38937407245187	3.0198052653421388
ILMN_1213354	4.5965255257744	4.932505801468473	4.026779702153501	4.521036284744107	4.712095537439495	4.1955279239322145	4.1764464497126434	4.469504418921037
ILMN_1213376	7.803518310514148	7.753465479789684	7.5004132886784465	7.899182882615642	8.060454922049022	7.891448351545376	7.914123778853768	7.815505623480878
ILMN_1213426	9.617964012219419	9.308598418861722	9.577303625376404	9.41238989562904	9.247570829445966	9.389160867617864	9.47353143880252	9.665748234515032
ILMN_1213437	2.061915104290076	-4.643520080985351	3.6535507710490083	2.942457453246309	3.165969163364511	1.8414156520646152	2.3600116370952553	3.8255587259878547
ILMN_1213449	9.8502640502437	9.826148036179156	9.844717688758864	9.90988963449503	9.834075637314326	9.92039856236674	9.94755760580539	9.907393948246053
ILMN_1213456	10.352896427795297	10.378221147595674	10.357955506935753	10.332378993893395	10.177678651652009	10.195609663461596	10.274860330026254	10.365728619867689
ILMN_1213458	2.990792434642467	3.0162839649463473	3.294193868550116	1.2182802440556326	3.1807743679089473	3.2382101247913586	0.33554270953824783	4.549892764970101
ILMN_1213483	10.434298788557046	10.600912714606439	10.429705920629686	10.416951603852295	10.447134897742792	10.578829299540294	10.552613386510277	10.66481613353692
ILMN_1213506	1.9283699439857405	2.5062881241757577	3.7167231755816066	1.1178698840543517	3.3062591769874525	2.4592868172503115	3.1200597550794775	3.468540309196546
ILMN_1213531	11.780152590987006	11.765676042008206	11.90308121400153	12.010093413663846	12.030894694477043	12.139697469031463	11.950823051558848	11.95266008420872
ILMN_1213564	3.133172057765256	4.2013107867605965	3.5680211567909805	3.6247735274599058	3.8990083377773144	3.58539043677591	4.106157332369559	4.029174568105204
ILMN_1213572	2.9643359692640034	4.222204858789302	1.956971432561272	2.931181713793438	4.421335747618374	2.422875341445322	4.331985331218962	2.798767639087596
ILMN_1213573	6.702948380009351	6.615356409343798	6.856266154157019	6.739258107699737	6.640195471544402	6.533545127533845	6.092093877219912	6.841779438705765
ILMN_1213574	5.367922455608693	4.760485505025376	5.160656030151649	4.189210986587056	3.584048504399197	4.547164766297328	3.133436939150628	4.420720877794764
ILMN_1213596	6.614194503855795	7.2774129474993785	6.4117734880200885	7.4266840818496185	7.055560100456447	6.6740453423933985	6.626945013411535	6.743691335731967
ILMN_1213604	4.012511465130505	3.897256885759889	3.7686871950298992	3.661756439372752	4.230942312735938	3.9329144001347607	3.996024410909915	3.2582005017025835
ILMN_1213615	4.653093274397058	4.447696881811684	3.854754708122972	5.1509962369722215	3.968280640620546	3.6247735274599058	3.2692829026386105	3.916615174727547
ILMN_1213617	8.870003692386156	8.864221128036913	9.015813933781281	8.964035255574634	9.004113138176901	9.314694260115813	9.019527626443352	8.608427824104096
ILMN_1213618	4.408440141461644	4.7282715583650825	4.911421230960579	4.732396203181041	5.62281060928884	5.315467327836399	5.41854652891231	5.1103427788634335
ILMN_1213645	10.470967917273757	10.474172368748947	10.438587075132936	10.572200927827192	10.556113235615936	10.554920710105058	10.525668594572384	10.420864474698401
ILMN_1213678	1.4420984592621044	3.75956386486851	2.652478005077437	0.6511633126979246	2.7175970281057618	3.041356542678115	2.5314064150255216	2.4666135478126447
ILMN_1213681	6.13381728196342	6.30143546790371	6.3083856325325165	6.507782115648921	6.682449696683536	6.583839316257567	6.5002190265693685	6.471944871563783
ILMN_1213692	4.173750280961374	3.1377054869185677	2.3812911259303857	3.58539043677591	3.48620206742756	1.3761558885473684	3.7213704719163427	3.9316925111247722
