gene_id,gene_name,logFC,logCPM,PValue,FDR
ENSDARG00000052419,ankrd12,-0.6098730892134894,7.73902337460965,5.563769863513939e-7,2.6392504238881996e-5
ENSDARG00000117445,CABZ01067151.2,-1.4479755734985937,3.4011101058055453,5.719375089153822e-7,2.688429420438407e-5
ENSDARG00000031435,TXN,0.8187985898618944,4.700345640060705,5.987982110331061e-7,2.7910370396613126e-5
ENSDARG00000012763,arl13b,-0.8100529612273213,4.786838371194986,6.019070363911626e-7,2.7976908060192585e-5
ENSDARG00000077721,knop1,-1.53461346627676,4.65326439676083,6.057240346088401e-7,2.807589954287214e-5
ENSDARG00000104710,psip1a,-0.9720108069849304,3.801687944979414,6.242631370515309e-7,2.864237609108297e-5
ENSDARG00000060041,lig1,-0.9177801377429973,4.29710479483201,6.248306803523508e-7,2.864237609108297e-5
ENSDARG00000026902,cryzl1,0.9112677373665008,3.3842997101677637,6.32404710616889e-7,2.8694023051811067e-5
ENSDARG00000117758,CABZ01050280.1,-0.8452309100292086,4.434230454924445,6.367325291493175e-7,2.8694023051811067e-5
ENSDARG00000006370,atp6v1h,0.8265649373919595,6.046968837842212,6.378915641570525e-7,2.8694023051811067e-5
ENSDARG00000038785,abcf2a,0.8181366874416257,5.408956706361356,7.559425541344122e-7,3.250357648784656e-5
ENSDARG00000013475,cct4,0.9618053469059576,5.089278885042256,8.136758983976654e-7,3.436438312014506e-5
ENSDARG00000091628,cspp1b,-0.9730668563632682,4.561753315686192,8.549611637390907e-7,3.574510996135294e-5
ENSDARG00000008740,esf1,-0.8875974989707615,4.710299361828119,8.975930826846543e-7,3.697017053433824e-5
ENSDARG00000054980,ebna1bp2,-0.8171156290966938,4.127595747042675,9.269825864389483e-7,3.78063486233924e-5
ENSDARG00000045620,nansa,0.7904947906943401,3.2192898058283177,1.1394147276439276e-6,4.4611437807046954e-5
ENSDARG00000038868,en2b,-1.1543906644541475,4.370839243456013,1.1550473122384288e-6,4.501167980245306e-5
ENSDARG00000059965,camsap2b,-0.7531410528879843,6.456243696786089,1.259604223585825e-6,4.8630659583452736e-5
ENSDARG00000019335,hes6,0.9038018706696129,4.24937797722702,1.2748632969154668e-6,4.8898869043251524e-5
ENSDARG00000075445,psmb5,0.8405223755356087,5.589524013306864,1.411587884732059e-6,5.3262635832066806e-5
ENSDARG00000009534,wls,0.6565028971498881,4.578675751912917,1.4337377403592026e-6,5.373477275593069e-5
ENSDARG00000075043,si:dkeyp-123h10.2,-0.6127409033336648,5.831313540082972,1.4474547286153648e-6,5.400369211694993e-5
ENSDARG00000016132,keap1a,0.9471101562679903,2.5041960840451702,1.619480231454698e-6,5.9357160906181e-5
ENSDARG00000075936,sugp1,-1.0260169127619123,3.839091110306912,1.7867308147245191e-6,6.325787395109787e-5
ENSDARG00000094485,si:dkey-27h10.2,-1.5525389612882778,2.1002151683065278,1.8479473372416653e-6,6.476599187807403e-5
ENSDARG00000043247,gtf3c3,-0.7617505274617654,3.850100999155473,1.965105470449202e-6,6.812365630890567e-5
