gene_id	Ps2Ex3M1_WT_6month_07_07_2016_F3_86_Fem	Ps2Ex3M1_Heter_6month_07_07_2016_F3_80_Fem	Ps2Ex3M1_Heter_6month_07_07_2016_F3_81_Fem	Ps2Ex3M1_Hom_6month_07_07_2016_F3_82_Fem	Ps2Ex3M1_Hom_6month_07_07_2016_F3_85_Fem	Ps2Ex3M1_Heter_6month_07_07_2016_F3_84_Fem	Ps2Ex3M1_WT_6month_07_07_2016_F3_79_Fem	Ps2Ex3M1_Hom_6month_07_07_2016_F3_78_Fem	Ps2Ex3M1_WT_6month_07_07_2016_F3_95_Fem	Ps2Ex3M1_Hom_6month_07_07_2016_F3_83_Fem	Ps2Ex3M1_Heter_6month_07_07_2016_F3_89_Fem	Ps2Ex3M1_WT_6month_07_07_2016_F3_88_Fem
ENSDARG00000007356	1.9947224778566954	1.4789606407027671	1.5214341017890658	1.5107682566942033	1.2053298735267086	2.1162716963012578	1.9811520482326561	0.9599616505455271	1.8551291849457894	1.7976702078858737	1.3115065434276905	1.9702084136461528
ENSDARG00000089805	3.3282806842261525	3.56175007825522	3.5209963787519616	3.6818904553689813	3.466342819999788	4.021900466322123	3.500088331569495	3.7623375343650167	3.506328723667315	3.6501002196143837	3.5461832814850247	3.593278118303013
ENSDARG00000017744	1.6086479195639565	1.4221432671596541	0.4806190446571148	1.06913594382757	1.2301132042464467	0.5629457273060638	1.490545423035626	1.6115177060022097	1.0380401261850216	0.27286059365062254	0.46310672783252915	0.7067769995774174
ENSDARG00000101134	2.4612586416531332	1.755021432091072	2.3629370809555006	2.0960800952781597	2.0732648077130693	2.100581416469201	2.035657357686639	1.3022142419316594	2.6379949377624747	2.4309819814311573	1.6707416108869553	2.1100422346327283
ENSDARG00000026489	5.227087716055156	5.4977573565484015	5.187124271727421	5.336807744997849	5.345425427022251	5.566198598413395	5.139787888467877	5.340487270472318	5.21731787782474	5.225626093401733	5.264321111981855	5.335814719201028
ENSDARG00000076068	4.582273372903989	4.33845037862517	4.294378300288772	4.450743601895892	4.537921737808609	4.480314289557037	4.67771459505622	4.590415134268753	4.509877831910917	4.439606273131182	4.543175108147238	4.504497999448536
ENSDARG00000005525	1.6151285574055434	0.16105503660556897	0.21455611520001483	-0.3650493271643791	-1.0836661432565906	0.20593197244449613	-1.144868082889845	0.07114342548151731	0.9446953900093087	-0.832122118896816	-0.10969199654162187	0.1320185107931091
ENSDARG00000069056	3.7909138859422975	3.9079353107079995	3.9710166101509445	3.7425683523584428	3.837351692269911	4.189423840601088	3.928803668017451	3.7452948768207426	3.826407641130377	3.8317636691054666	3.8456152151347913	3.7708874469573037
ENSDARG00000101495	0.5237814891389849	0.9688400874494287	0.9514883152920763	0.3465724966947117	0.6297047938442848	0.22275600576686516	-0.403125679731704	1.3246751998783561	0.5184350405669242	0.9514883152920763	0.581641088681986	0.2966999260311254
ENSDARG00000058719	2.2206312149265117	2.1050502272216516	1.937826531415921	1.4687020289722494	2.0065193045334517	1.8773880136503438	2.3077760985162894	1.8370445397079476	2.287375974886203	1.668766014863686	1.9306486005730066	1.9035683229260663
